Type of property,Subtype of property,Price,State of the building,Surface of the plot,Surface of the land,Area,Number of rooms,Furnished,Fully equipped kitchen,Number of facades,Garden,Garden surface,Open fire,Terrace,Terrace surface,Investment property
House,House,497000,As new,660,660,230,5,0,0,3,0,,0,0,,0
,,,,,,,,0,0,,0,,0,0,,
House,Villa,859500,,2684,2684,235,3,0,1,4,1,,0,0,,0
House,House,210000,To renovate,354,148,147,3,0,0,2,1,206,0,0,,0
House,House,269000,To renovate,248,248,150,3,0,0,4,0,,0,0,,0
House,House,395000,To be done up,448,448,165,4,0,0,3,1,,0,0,,0
House,Mixed-use building,399000,To be done up,73,73,196,,0,1,2,0,,0,0,,1
House,House,545000,Good,1502,1502,303,4,0,0,4,1,,0,0,,0
House,House,619000,Good,752,752,216,4,0,0,4,1,,0,0,,0
House,House,659000,As new,75,50,200,3,0,1,2,1,25,0,0,,0
House,Apartment block,1380000,Just renovated,206,206,560,10,1,0,2,0,,0,0,,1
House,Mansion,1449500,Just renovated,143,108,342,5,0,1,2,1,35,0,0,,0
House,House,349000,To be done up,461,461,268,3,0,0,4,1,,0,0,,0
House,House,249000,Just renovated,36,36,126,1,0,0,2,0,,0,0,,0
House,Manor house,640000,Good,1016,1016,263,3,0,0,4,1,,1,0,,0
House,House,127000,To renovate,85,85,80,3,0,0,3,0,,1,0,,0
House,House,285000,As new,240,85,165,3,0,0,,1,155,0,0,,0
House,House,343000,Good,139,85,127,3,0,0,2,1,54,0,0,,0
House,Villa,1295000,Good,21325,21325,326,5,0,0,,0,,0,0,,0
House,House,590000,Good,438,418,250,4,0,0,3,0,,0,1,20,0
House,House,235000,To be done up,228,78,90,2,0,0,2,1,150,0,0,,0
House,House,425000,Good,158,114,240,3,0,1,2,1,44,0,0,,0
House,House,429000,,1317,1317,182,3,0,0,4,0,,0,0,,0
House,House,629000,Good,853,853,502,5,0,1,2,1,,1,0,,0
House,House,650000,Good,2100,2100,388,4,0,0,4,0,,0,0,,0
House,Villa,735000,As new,1542,1542,306,3,0,0,4,1,,0,0,,0
,,,,,,,,0,0,,0,,0,0,,
House,Apartment block,469000,To be done up,74,74,213,4,0,0,3,0,,0,0,,1
House,House,469000,To be done up,74,74,213,4,0,0,3,0,,0,0,,0
House,House,75000985,Good,682,682,251,4,0,0,4,1,,0,0,,0
House,Villa,75000985,Good,682,682,251,4,0,0,4,1,,0,0,,0
House,Mansion,556000,As new,176,86,235,5,0,1,2,1,90,0,0,,0
House,Villa,669000,As new,400,400,250,3,0,1,,1,,0,0,,0
,Verkaveling Draeybomen,319591360378,,,,,,0,0,,0,,0,0,,1
,Project Smissenhoekstraat,320220,,,,,,0,0,,0,,0,0,,1
,,,,,,,,0,0,,0,,0,0,,
House,House,125000,To renovate,58,55,75,2,0,0,2,1,3,0,0,,0
House,House,225000,As new,59,59,114,3,0,0,2,0,,0,0,,0
House,House,239500,To be done up,145,101,151,2,0,0,,0,,0,1,44,0
House,House,269000,As new,82,82,157,4,0,0,2,0,,0,0,,0
House,House,299000,To be done up,463,163,235,3,0,0,4,1,300,0,0,,0
House,House,499000,Good,,,222,3,0,0,2,0,,0,1,5,0
House,Mixed-use building,499000,Good,,,222,3,0,0,2,0,,0,1,5,1
House,House,499000,To renovate,225,225,516,9,0,0,3,0,,0,0,,0
House,House,675000,Good,334,170,380,5,0,0,2,1,164,0,0,,0
House,Villa,825000,As new,1735,1735,590,4,0,1,4,0,,1,0,,0
